split,label,image_path
train,ice_cream,Data-Pipeline\data\raw\food-101\images\ice_cream\316451.jpg
train,caesar_salad,Data-Pipeline\data\raw\food-101\images\caesar_salad\1907330.jpg
train,huevos_rancheros,Data-Pipeline\data\raw\food-101\images\huevos_rancheros\950558.jpg
train,sushi,Data-Pipeline\data\raw\food-101\images\sushi\1454741.jpg
train,prime_rib,Data-Pipeline\data\raw\food-101\images\prime_rib\3791144.jpg
train,omelette,Data-Pipeline\data\raw\food-101\images\omelette\301148.jpg
train,prime_rib,Data-Pipeline\data\raw\food-101\images\prime_rib\3330069.jpg
train,chocolate_mousse,Data-Pipeline\data\raw\food-101\images\chocolate_mousse\773615.jpg
train,ice_cream,Data-Pipeline\data\raw\food-101\images\ice_cream\2454411.jpg
train,churros,Data-Pipeline\data\raw\food-101\images\churros\2630630.jpg
train,gnocchi,Data-Pipeline\data\raw\food-101\images\gnocchi\2990019.jpg
train,grilled_cheese_sandwich,Data-Pipeline\data\raw\food-101\images\grilled_cheese_sandwich\3028292.jpg
train,risotto,Data-Pipeline\data\raw\food-101\images\risotto\2384723.jpg
train,bibimbap,Data-Pipeline\data\raw\food-101\images\bibimbap\1705808.jpg
train,miso_soup,Data-Pipeline\data\raw\food-101\images\miso_soup\1043862.jpg
train,pho,Data-Pipeline\data\raw\food-101\images\pho\1297127.jpg
train,samosa,Data-Pipeline\data\raw\food-101\images\samosa\383558.jpg
train,breakfast_burrito,Data-Pipeline\data\raw\food-101\images\breakfast_burrito\3202066.jpg
train,beef_carpaccio,Data-Pipeline\data\raw\food-101\images\beef_carpaccio\1956862.jpg
train,shrimp_and_grits,Data-Pipeline\data\raw\food-101\images\shrimp_and_grits\1892226.jpg
train,tiramisu,Data-Pipeline\data\raw\food-101\images\tiramisu\2776910.jpg
train,strawberry_shortcake,Data-Pipeline\data\raw\food-101\images\strawberry_shortcake\1681442.jpg
train,cannoli,Data-Pipeline\data\raw\food-101\images\cannoli\582092.jpg
train,french_fries,Data-Pipeline\data\raw\food-101\images\french_fries\3050068.jpg
train,escargots,Data-Pipeline\data\raw\food-101\images\escargots\1515597.jpg
train,guacamole,Data-Pipeline\data\raw\food-101\images\guacamole\2808213.jpg
train,tiramisu,Data-Pipeline\data\raw\food-101\images\tiramisu\3817995.jpg
train,creme_brulee,Data-Pipeline\data\raw\food-101\images\creme_brulee\4234.jpg
train,beef_carpaccio,Data-Pipeline\data\raw\food-101\images\beef_carpaccio\1091862.jpg
train,hummus,Data-Pipeline\data\raw\food-101\images\hummus\3601223.jpg
train,chicken_quesadilla,Data-Pipeline\data\raw\food-101\images\chicken_quesadilla\479440.jpg
train,edamame,Data-Pipeline\data\raw\food-101\images\edamame\2349798.jpg
train,chicken_curry,Data-Pipeline\data\raw\food-101\images\chicken_curry\1027623.jpg
train,cup_cakes,Data-Pipeline\data\raw\food-101\images\cup_cakes\3196898.jpg
train,escargots,Data-Pipeline\data\raw\food-101\images\escargots\2817164.jpg
train,huevos_rancheros,Data-Pipeline\data\raw\food-101\images\huevos_rancheros\2527062.jpg
train,lobster_roll_sandwich,Data-Pipeline\data\raw\food-101\images\lobster_roll_sandwich\682378.jpg
train,filet_mignon,Data-Pipeline\data\raw\food-101\images\filet_mignon\3872823.jpg
train,hamburger,Data-Pipeline\data\raw\food-101\images\hamburger\97917.jpg
train,bibimbap,Data-Pipeline\data\raw\food-101\images\bibimbap\1799492.jpg
train,panna_cotta,Data-Pipeline\data\raw\food-101\images\panna_cotta\3863814.jpg
train,hummus,Data-Pipeline\data\raw\food-101\images\hummus\156681.jpg
train,garlic_bread,Data-Pipeline\data\raw\food-101\images\garlic_bread\3409378.jpg
train,pork_chop,Data-Pipeline\data\raw\food-101\images\pork_chop\569742.jpg
train,beignets,Data-Pipeline\data\raw\food-101\images\beignets\1372714.jpg
train,bread_pudding,Data-Pipeline\data\raw\food-101\images\bread_pudding\1943277.jpg
train,samosa,Data-Pipeline\data\raw\food-101\images\samosa\2781307.jpg
train,crab_cakes,Data-Pipeline\data\raw\food-101\images\crab_cakes\2778048.jpg
train,beignets,Data-Pipeline\data\raw\food-101\images\beignets\3084381.jpg
train,spaghetti_carbonara,Data-Pipeline\data\raw\food-101\images\spaghetti_carbonara\3069421.jpg
train,spaghetti_bolognese,Data-Pipeline\data\raw\food-101\images\spaghetti_bolognese\2778356.jpg
train,pancakes,Data-Pipeline\data\raw\food-101\images\pancakes\3387147.jpg
train,mussels,Data-Pipeline\data\raw\food-101\images\mussels\1947573.jpg
train,greek_salad,Data-Pipeline\data\raw\food-101\images\greek_salad\2814188.jpg
train,spaghetti_carbonara,Data-Pipeline\data\raw\food-101\images\spaghetti_carbonara\3361611.jpg
train,takoyaki,Data-Pipeline\data\raw\food-101\images\takoyaki\2609451.jpg
train,oysters,Data-Pipeline\data\raw\food-101\images\oysters\3691057.jpg
train,cheese_plate,Data-Pipeline\data\raw\food-101\images\cheese_plate\3609053.jpg
train,crab_cakes,Data-Pipeline\data\raw\food-101\images\crab_cakes\1389584.jpg
train,fried_rice,Data-Pipeline\data\raw\food-101\images\fried_rice\1528395.jpg
train,spring_rolls,Data-Pipeline\data\raw\food-101\images\spring_rolls\3664748.jpg
train,peking_duck,Data-Pipeline\data\raw\food-101\images\peking_duck\334400.jpg
train,samosa,Data-Pipeline\data\raw\food-101\images\samosa\1478597.jpg
train,mussels,Data-Pipeline\data\raw\food-101\images\mussels\679883.jpg
train,fried_rice,Data-Pipeline\data\raw\food-101\images\fried_rice\3825855.jpg
train,deviled_eggs,Data-Pipeline\data\raw\food-101\images\deviled_eggs\1276492.jpg
train,hot_dog,Data-Pipeline\data\raw\food-101\images\hot_dog\324480.jpg
train,grilled_cheese_sandwich,Data-Pipeline\data\raw\food-101\images\grilled_cheese_sandwich\2783163.jpg
train,filet_mignon,Data-Pipeline\data\raw\food-101\images\filet_mignon\1214317.jpg
train,greek_salad,Data-Pipeline\data\raw\food-101\images\greek_salad\1028378.jpg
train,steak,Data-Pipeline\data\raw\food-101\images\steak\2940621.jpg
train,guacamole,Data-Pipeline\data\raw\food-101\images\guacamole\2089705.jpg
train,french_fries,Data-Pipeline\data\raw\food-101\images\french_fries\2479034.jpg
train,deviled_eggs,Data-Pipeline\data\raw\food-101\images\deviled_eggs\3823115.jpg
train,chicken_wings,Data-Pipeline\data\raw\food-101\images\chicken_wings\2165259.jpg
train,mussels,Data-Pipeline\data\raw\food-101\images\mussels\610478.jpg
train,spaghetti_bolognese,Data-Pipeline\data\raw\food-101\images\spaghetti_bolognese\1778372.jpg
train,huevos_rancheros,Data-Pipeline\data\raw\food-101\images\huevos_rancheros\850686.jpg
train,french_toast,Data-Pipeline\data\raw\food-101\images\french_toast\107493.jpg
train,chocolate_mousse,Data-Pipeline\data\raw\food-101\images\chocolate_mousse\2338103.jpg
train,pork_chop,Data-Pipeline\data\raw\food-101\images\pork_chop\3472793.jpg
train,ravioli,Data-Pipeline\data\raw\food-101\images\ravioli\2812587.jpg
train,greek_salad,Data-Pipeline\data\raw\food-101\images\greek_salad\2225138.jpg
train,carrot_cake,Data-Pipeline\data\raw\food-101\images\carrot_cake\406507.jpg
train,beignets,Data-Pipeline\data\raw\food-101\images\beignets\502121.jpg
train,strawberry_shortcake,Data-Pipeline\data\raw\food-101\images\strawberry_shortcake\165756.jpg
train,chocolate_cake,Data-Pipeline\data\raw\food-101\images\chocolate_cake\391530.jpg
train,red_velvet_cake,Data-Pipeline\data\raw\food-101\images\red_velvet_cake\1279628.jpg
train,chicken_wings,Data-Pipeline\data\raw\food-101\images\chicken_wings\786320.jpg
train,garlic_bread,Data-Pipeline\data\raw\food-101\images\garlic_bread\450075.jpg
train,french_toast,Data-Pipeline\data\raw\food-101\images\french_toast\27809.jpg
train,caprese_salad,Data-Pipeline\data\raw\food-101\images\caprese_salad\972395.jpg
train,deviled_eggs,Data-Pipeline\data\raw\food-101\images\deviled_eggs\37276.jpg
train,french_fries,Data-Pipeline\data\raw\food-101\images\french_fries\2369424.jpg
train,bibimbap,Data-Pipeline\data\raw\food-101\images\bibimbap\3575029.jpg
train,tacos,Data-Pipeline\data\raw\food-101\images\tacos\846311.jpg
train,hot_dog,Data-Pipeline\data\raw\food-101\images\hot_dog\2515817.jpg
train,lobster_roll_sandwich,Data-Pipeline\data\raw\food-101\images\lobster_roll_sandwich\1755778.jpg
train,beignets,Data-Pipeline\data\raw\food-101\images\beignets\3725741.jpg
train,hot_and_sour_soup,Data-Pipeline\data\raw\food-101\images\hot_and_sour_soup\2314615.jpg
train,hot_and_sour_soup,Data-Pipeline\data\raw\food-101\images\hot_and_sour_soup\2874849.jpg
train,bruschetta,Data-Pipeline\data\raw\food-101\images\bruschetta\643181.jpg
train,poutine,Data-Pipeline\data\raw\food-101\images\poutine\154691.jpg
train,cheesecake,Data-Pipeline\data\raw\food-101\images\cheesecake\3310988.jpg
train,pork_chop,Data-Pipeline\data\raw\food-101\images\pork_chop\154414.jpg
train,chocolate_cake,Data-Pipeline\data\raw\food-101\images\chocolate_cake\381453.jpg
train,greek_salad,Data-Pipeline\data\raw\food-101\images\greek_salad\1413518.jpg
train,fried_rice,Data-Pipeline\data\raw\food-101\images\fried_rice\357481.jpg
train,pancakes,Data-Pipeline\data\raw\food-101\images\pancakes\2092418.jpg
train,deviled_eggs,Data-Pipeline\data\raw\food-101\images\deviled_eggs\2416784.jpg
train,mussels,Data-Pipeline\data\raw\food-101\images\mussels\625463.jpg
train,pulled_pork_sandwich,Data-Pipeline\data\raw\food-101\images\pulled_pork_sandwich\1980442.jpg
train,beignets,Data-Pipeline\data\raw\food-101\images\beignets\3722328.jpg
train,edamame,Data-Pipeline\data\raw\food-101\images\edamame\2063722.jpg
train,beet_salad,Data-Pipeline\data\raw\food-101\images\beet_salad\1860896.jpg
train,takoyaki,Data-Pipeline\data\raw\food-101\images\takoyaki\2156827.jpg
train,ceviche,Data-Pipeline\data\raw\food-101\images\ceviche\2244484.jpg
train,lasagna,Data-Pipeline\data\raw\food-101\images\lasagna\1833706.jpg
train,french_fries,Data-Pipeline\data\raw\food-101\images\french_fries\3830442.jpg
train,pizza,Data-Pipeline\data\raw\food-101\images\pizza\271779.jpg
train,cannoli,Data-Pipeline\data\raw\food-101\images\cannoli\1163058.jpg
train,poutine,Data-Pipeline\data\raw\food-101\images\poutine\1408492.jpg
train,seaweed_salad,Data-Pipeline\data\raw\food-101\images\seaweed_salad\2324603.jpg
train,churros,Data-Pipeline\data\raw\food-101\images\churros\2704666.jpg
train,eggs_benedict,Data-Pipeline\data\raw\food-101\images\eggs_benedict\1396508.jpg
train,baby_back_ribs,Data-Pipeline\data\raw\food-101\images\baby_back_ribs\57607.jpg
train,baby_back_ribs,Data-Pipeline\data\raw\food-101\images\baby_back_ribs\854966.jpg
train,paella,Data-Pipeline\data\raw\food-101\images\paella\265807.jpg
train,caprese_salad,Data-Pipeline\data\raw\food-101\images\caprese_salad\3672242.jpg
train,ravioli,Data-Pipeline\data\raw\food-101\images\ravioli\254420.jpg
train,cheese_plate,Data-Pipeline\data\raw\food-101\images\cheese_plate\1703787.jpg
train,caprese_salad,Data-Pipeline\data\raw\food-101\images\caprese_salad\2018682.jpg
train,deviled_eggs,Data-Pipeline\data\raw\food-101\images\deviled_eggs\3321812.jpg
train,risotto,Data-Pipeline\data\raw\food-101\images\risotto\2729817.jpg
train,cup_cakes,Data-Pipeline\data\raw\food-101\images\cup_cakes\540120.jpg
train,oysters,Data-Pipeline\data\raw\food-101\images\oysters\3218297.jpg
train,beef_tartare,Data-Pipeline\data\raw\food-101\images\beef_tartare\3358463.jpg
train,pho,Data-Pipeline\data\raw\food-101\images\pho\955847.jpg
train,pulled_pork_sandwich,Data-Pipeline\data\raw\food-101\images\pulled_pork_sandwich\2341959.jpg
train,french_fries,Data-Pipeline\data\raw\food-101\images\french_fries\854381.jpg
train,chocolate_cake,Data-Pipeline\data\raw\food-101\images\chocolate_cake\726626.jpg
train,grilled_cheese_sandwich,Data-Pipeline\data\raw\food-101\images\grilled_cheese_sandwich\827697.jpg
train,panna_cotta,Data-Pipeline\data\raw\food-101\images\panna_cotta\1330332.jpg
train,steak,Data-Pipeline\data\raw\food-101\images\steak\3388717.jpg
train,croque_madame,Data-Pipeline\data\raw\food-101\images\croque_madame\3841316.jpg
train,greek_salad,Data-Pipeline\data\raw\food-101\images\greek_salad\928901.jpg
train,seaweed_salad,Data-Pipeline\data\raw\food-101\images\seaweed_salad\3882635.jpg
train,pho,Data-Pipeline\data\raw\food-101\images\pho\2472453.jpg
train,donuts,Data-Pipeline\data\raw\food-101\images\donuts\2125955.jpg
train,churros,Data-Pipeline\data\raw\food-101\images\churros\3879869.jpg
train,chocolate_mousse,Data-Pipeline\data\raw\food-101\images\chocolate_mousse\3423730.jpg
train,bread_pudding,Data-Pipeline\data\raw\food-101\images\bread_pudding\1464718.jpg
train,strawberry_shortcake,Data-Pipeline\data\raw\food-101\images\strawberry_shortcake\1476058.jpg
train,pulled_pork_sandwich,Data-Pipeline\data\raw\food-101\images\pulled_pork_sandwich\2741756.jpg
train,crab_cakes,Data-Pipeline\data\raw\food-101\images\crab_cakes\1128727.jpg
train,french_toast,Data-Pipeline\data\raw\food-101\images\french_toast\1285422.jpg
train,french_toast,Data-Pipeline\data\raw\food-101\images\french_toast\1701919.jpg
train,spaghetti_bolognese,Data-Pipeline\data\raw\food-101\images\spaghetti_bolognese\1309165.jpg
train,gnocchi,Data-Pipeline\data\raw\food-101\images\gnocchi\1960893.jpg
train,sashimi,Data-Pipeline\data\raw\food-101\images\sashimi\1317237.jpg
train,paella,Data-Pipeline\data\raw\food-101\images\paella\3812850.jpg
train,creme_brulee,Data-Pipeline\data\raw\food-101\images\creme_brulee\439066.jpg
train,hummus,Data-Pipeline\data\raw\food-101\images\hummus\3037612.jpg
train,hot_and_sour_soup,Data-Pipeline\data\raw\food-101\images\hot_and_sour_soup\557591.jpg
train,clam_chowder,Data-Pipeline\data\raw\food-101\images\clam_chowder\1231245.jpg
train,peking_duck,Data-Pipeline\data\raw\food-101\images\peking_duck\1153051.jpg
train,red_velvet_cake,Data-Pipeline\data\raw\food-101\images\red_velvet_cake\1244346.jpg
train,eggs_benedict,Data-Pipeline\data\raw\food-101\images\eggs_benedict\1820721.jpg
train,onion_rings,Data-Pipeline\data\raw\food-101\images\onion_rings\477318.jpg
train,crab_cakes,Data-Pipeline\data\raw\food-101\images\crab_cakes\1449457.jpg
train,nachos,Data-Pipeline\data\raw\food-101\images\nachos\571814.jpg
train,paella,Data-Pipeline\data\raw\food-101\images\paella\3831041.jpg
train,gnocchi,Data-Pipeline\data\raw\food-101\images\gnocchi\1034178.jpg
train,samosa,Data-Pipeline\data\raw\food-101\images\samosa\782181.jpg
train,ice_cream,Data-Pipeline\data\raw\food-101\images\ice_cream\687393.jpg
train,oysters,Data-Pipeline\data\raw\food-101\images\oysters\3166101.jpg
train,miso_soup,Data-Pipeline\data\raw\food-101\images\miso_soup\2193725.jpg
train,samosa,Data-Pipeline\data\raw\food-101\images\samosa\2991001.jpg
train,caprese_salad,Data-Pipeline\data\raw\food-101\images\caprese_salad\2432060.jpg
train,eggs_benedict,Data-Pipeline\data\raw\food-101\images\eggs_benedict\3482469.jpg
train,fish_and_chips,Data-Pipeline\data\raw\food-101\images\fish_and_chips\2410642.jpg
train,fried_rice,Data-Pipeline\data\raw\food-101\images\fried_rice\1015700.jpg
train,french_fries,Data-Pipeline\data\raw\food-101\images\french_fries\2814658.jpg
train,paella,Data-Pipeline\data\raw\food-101\images\paella\2500342.jpg
train,apple_pie,Data-Pipeline\data\raw\food-101\images\apple_pie\2364059.jpg
train,waffles,Data-Pipeline\data\raw\food-101\images\waffles\169556.jpg
train,takoyaki,Data-Pipeline\data\raw\food-101\images\takoyaki\1298669.jpg
train,beef_carpaccio,Data-Pipeline\data\raw\food-101\images\beef_carpaccio\1461443.jpg
train,clam_chowder,Data-Pipeline\data\raw\food-101\images\clam_chowder\1915041.jpg
train,prime_rib,Data-Pipeline\data\raw\food-101\images\prime_rib\109428.jpg
train,french_fries,Data-Pipeline\data\raw\food-101\images\french_fries\303460.jpg
train,greek_salad,Data-Pipeline\data\raw\food-101\images\greek_salad\1835083.jpg
train,clam_chowder,Data-Pipeline\data\raw\food-101\images\clam_chowder\2862215.jpg
train,shrimp_and_grits,Data-Pipeline\data\raw\food-101\images\shrimp_and_grits\2517111.jpg
train,croque_madame,Data-Pipeline\data\raw\food-101\images\croque_madame\761803.jpg
train,hot_dog,Data-Pipeline\data\raw\food-101\images\hot_dog\608168.jpg
train,crab_cakes,Data-Pipeline\data\raw\food-101\images\crab_cakes\1642903.jpg
train,garlic_bread,Data-Pipeline\data\raw\food-101\images\garlic_bread\2002982.jpg
train,bread_pudding,Data-Pipeline\data\raw\food-101\images\bread_pudding\2204526.jpg
train,ramen,Data-Pipeline\data\raw\food-101\images\ramen\2160495.jpg
train,risotto,Data-Pipeline\data\raw\food-101\images\risotto\2086797.jpg
train,spring_rolls,Data-Pipeline\data\raw\food-101\images\spring_rolls\3887019.jpg
train,carrot_cake,Data-Pipeline\data\raw\food-101\images\carrot_cake\2062380.jpg
train,lasagna,Data-Pipeline\data\raw\food-101\images\lasagna\2290750.jpg
train,hummus,Data-Pipeline\data\raw\food-101\images\hummus\3457510.jpg
train,baby_back_ribs,Data-Pipeline\data\raw\food-101\images\baby_back_ribs\3435671.jpg
train,cheesecake,Data-Pipeline\data\raw\food-101\images\cheesecake\2682488.jpg
train,pancakes,Data-Pipeline\data\raw\food-101\images\pancakes\1304076.jpg
train,tacos,Data-Pipeline\data\raw\food-101\images\tacos\1033196.jpg
train,pulled_pork_sandwich,Data-Pipeline\data\raw\food-101\images\pulled_pork_sandwich\1498643.jpg
train,filet_mignon,Data-Pipeline\data\raw\food-101\images\filet_mignon\1695247.jpg
train,breakfast_burrito,Data-Pipeline\data\raw\food-101\images\breakfast_burrito\1115028.jpg
train,carrot_cake,Data-Pipeline\data\raw\food-101\images\carrot_cake\316063.jpg
train,baby_back_ribs,Data-Pipeline\data\raw\food-101\images\baby_back_ribs\504827.jpg
train,waffles,Data-Pipeline\data\raw\food-101\images\waffles\3464018.jpg
train,shrimp_and_grits,Data-Pipeline\data\raw\food-101\images\shrimp_and_grits\629950.jpg
train,oysters,Data-Pipeline\data\raw\food-101\images\oysters\899305.jpg
train,club_sandwich,Data-Pipeline\data\raw\food-101\images\club_sandwich\3739041.jpg
train,filet_mignon,Data-Pipeline\data\raw\food-101\images\filet_mignon\287177.jpg
train,edamame,Data-Pipeline\data\raw\food-101\images\edamame\1037870.jpg
train,spring_rolls,Data-Pipeline\data\raw\food-101\images\spring_rolls\1443368.jpg
train,takoyaki,Data-Pipeline\data\raw\food-101\images\takoyaki\2616689.jpg
train,french_onion_soup,Data-Pipeline\data\raw\food-101\images\french_onion_soup\134279.jpg
train,beet_salad,Data-Pipeline\data\raw\food-101\images\beet_salad\2221152.jpg
train,fried_calamari,Data-Pipeline\data\raw\food-101\images\fried_calamari\1699064.jpg
train,scallops,Data-Pipeline\data\raw\food-101\images\scallops\2892434.jpg
train,peking_duck,Data-Pipeline\data\raw\food-101\images\peking_duck\2315.jpg
train,macarons,Data-Pipeline\data\raw\food-101\images\macarons\752451.jpg
train,ramen,Data-Pipeline\data\raw\food-101\images\ramen\1144837.jpg
train,pork_chop,Data-Pipeline\data\raw\food-101\images\pork_chop\2986893.jpg
train,beef_tartare,Data-Pipeline\data\raw\food-101\images\beef_tartare\3101187.jpg
train,cup_cakes,Data-Pipeline\data\raw\food-101\images\cup_cakes\96277.jpg
train,lobster_bisque,Data-Pipeline\data\raw\food-101\images\lobster_bisque\1113024.jpg
train,beef_tartare,Data-Pipeline\data\raw\food-101\images\beef_tartare\2790666.jpg
train,baby_back_ribs,Data-Pipeline\data\raw\food-101\images\baby_back_ribs\464701.jpg
train,ceviche,Data-Pipeline\data\raw\food-101\images\ceviche\685540.jpg
train,shrimp_and_grits,Data-Pipeline\data\raw\food-101\images\shrimp_and_grits\3537457.jpg
train,ice_cream,Data-Pipeline\data\raw\food-101\images\ice_cream\1352507.jpg
train,cup_cakes,Data-Pipeline\data\raw\food-101\images\cup_cakes\417163.jpg
train,red_velvet_cake,Data-Pipeline\data\raw\food-101\images\red_velvet_cake\1642625.jpg
train,caesar_salad,Data-Pipeline\data\raw\food-101\images\caesar_salad\620194.jpg
train,spaghetti_bolognese,Data-Pipeline\data\raw\food-101\images\spaghetti_bolognese\2367125.jpg
train,frozen_yogurt,Data-Pipeline\data\raw\food-101\images\frozen_yogurt\2584688.jpg
train,omelette,Data-Pipeline\data\raw\food-101\images\omelette\3163182.jpg
train,ice_cream,Data-Pipeline\data\raw\food-101\images\ice_cream\2985402.jpg
train,hummus,Data-Pipeline\data\raw\food-101\images\hummus\1076271.jpg
train,crab_cakes,Data-Pipeline\data\raw\food-101\images\crab_cakes\1257440.jpg
train,hamburger,Data-Pipeline\data\raw\food-101\images\hamburger\799334.jpg
train,falafel,Data-Pipeline\data\raw\food-101\images\falafel\3610387.jpg
train,bibimbap,Data-Pipeline\data\raw\food-101\images\bibimbap\831083.jpg
train,oysters,Data-Pipeline\data\raw\food-101\images\oysters\3001023.jpg
train,greek_salad,Data-Pipeline\data\raw\food-101\images\greek_salad\365829.jpg
train,hummus,Data-Pipeline\data\raw\food-101\images\hummus\3790136.jpg
train,beef_carpaccio,Data-Pipeline\data\raw\food-101\images\beef_carpaccio\2796357.jpg
train,onion_rings,Data-Pipeline\data\raw\food-101\images\onion_rings\1441616.jpg
train,guacamole,Data-Pipeline\data\raw\food-101\images\guacamole\616722.jpg
train,onion_rings,Data-Pipeline\data\raw\food-101\images\onion_rings\2889875.jpg
train,nachos,Data-Pipeline\data\raw\food-101\images\nachos\3401369.jpg
train,hot_and_sour_soup,Data-Pipeline\data\raw\food-101\images\hot_and_sour_soup\200587.jpg
train,strawberry_shortcake,Data-Pipeline\data\raw\food-101\images\strawberry_shortcake\1924816.jpg
train,escargots,Data-Pipeline\data\raw\food-101\images\escargots\1910463.jpg
train,french_toast,Data-Pipeline\data\raw\food-101\images\french_toast\1830875.jpg
train,steak,Data-Pipeline\data\raw\food-101\images\steak\2081995.jpg
train,spring_rolls,Data-Pipeline\data\raw\food-101\images\spring_rolls\2116119.jpg
train,pho,Data-Pipeline\data\raw\food-101\images\pho\2992037.jpg
train,chicken_quesadilla,Data-Pipeline\data\raw\food-101\images\chicken_quesadilla\3204861.jpg
train,baklava,Data-Pipeline\data\raw\food-101\images\baklava\3751066.jpg
